strain	sample	accession	lineage	city	state	country	host	collection	date	source	authors	url	title	journal	paper_url
Neudoerfl_TBEV_Unknown_NA_Austria_Unknown_Unknown_1971-XX-XX	Neudoerfl	NC_001672	TBEV	Unknown_Austria	Unknown_Austria	Austria	Unknown	Unknown	1971-06-01	GenBank	Mandl et al. (1989)	https://www.ncbi.nlm.nih.gov/nuccore/NC_001672.1			
Pow-24_LI_Kamenushki_Primorsky-Krai_Russia_Ixodes-persulcatus_Unknown_Unknown_1975-05-11	Pow-24	MG652438.1	LI	Kamenushki_Russia	Primorsky-Krai_Russia	Russia	Ixodes-persulcatus	Unknown	1975-05-11	GenBank	Pivanova et al.	https://www.ncbi.nlm.nih.gov/nuccore/MG652438.1			
Leiv-5530_LI_Unknown_Primorsky-Krai_Russia_Ixodes_Unknown_Unknown_1970-XX-XX	Leiv-5530	KT224351.1	LI	Unknown_Russia	Primorsky-Krai_Russia	Russia	Ixodes	Unknown	1970-06-01	GenBank	Alkhovsky et al.	https://www.ncbi.nlm.nih.gov/nuccore/KT224351.1			
Leiv-3070Prm_LI_Unknown_Primorsky-Krai_Russia_Ixodes_Unknown_Unknown_1977-XX-XX	Leiv-3070Prm	KT224350.1	LI	Unknown_Russia	Primorsky-Krai_Russia	Russia	Ixodes	Unknown	1977-06-01	GenBank	Alkhovsky et al.	https://www.ncbi.nlm.nih.gov/nuccore/KT224350.1			
Ternay_LI_Unknown_Unknown_Russia_Homo-sapiens_NA_NA_2006-XX-XX	Ternay	HQ231415.1	LI	Unknown_Russia	Unknown_Russia	Russia	Homo-sapiens	NA	2006-06-01	GenBank	Kulakova et al.	https://www.ncbi.nlm.nih.gov/nuccore/HQ231415.1			
Ulysses_LI_Unknown_Unknown_Russia_Homo-sapiens_NA_NA_2006-XX-XX	Ulysses	HQ231414.1	LI	Unknown_Russia	Unknown_Russia	Russia	Homo-sapiens	NA	2006-06-01	GenBank	Kulakova et al.	https://www.ncbi.nlm.nih.gov/nuccore/HQ231414.1			
Spassk-9_LI_Unknown_Unknown_Russia_Dermacentor-silvarum_Unknown_Unknown_1975-04-15	Spassk-9	EU770575.1	LI	Unknown_Russia	Unknown_Russia	Russia	Dermacentor-silvarum	Unknown	1975-04-15	GenBank	Leonova et al. (2009)	https://www.ncbi.nlm.nih.gov/nuccore/EU770575.1	Characterization of Powassan viruses from Far Eastern Russia	Arch. Virol. 154(5):811-820	https://pubmed.ncbi.nlm.nih.gov/19363586/
Nadezdinsk-1991_LI_Unknown_Unknown_Russia_Homo-sapiens_NA_NA_1991-XX-XX	Nadezdinsk-1991	EU670438.1	LI	Unknown_Russia	Unknown_Russia	Russia	Homo-sapiens	NA	1991-06-01	GenBank	Leonova et al. (2009)	https://www.ncbi.nlm.nih.gov/nuccore/EU670438.1	Characterization of Powassan viruses from Far Eastern Russia	Arch. Virol. 154(5):811-820	https://pubmed.ncbi.nlm.nih.gov/19363586/
Partizansk-2006_LI_Unknown_Unknown_Russia_Homo-sapiens_NA_NA_2006-XX-XX	Partizansk-2006	EU543649.1	LI	Unknown_Russia	Unknown_Russia	Russia	Homo-sapiens	NA	2006-06-01	GenBank	Leonova et al. (2009)	https://www.ncbi.nlm.nih.gov/nuccore/EU543649.1	Characterization of Powassan viruses from Far Eastern Russia	Arch. Virol. 154(5):811-820	https://pubmed.ncbi.nlm.nih.gov/19363586/
P0375-KU886216_LII_Bridgeport_CT_USA_Ixodes-scapularis_Unknown_Unknown_2010-11-01	P0375	KU886216.1	LII	Bridgeport_CT	Connecticut	USA	Ixodes-scapularis	Unknown	2010-11-01	GenBank	Grubaugh et al. (2016)	https://www.ncbi.nlm.nih.gov/nuccore/KU886216.1	Transmission bottlenecks and RNAi collectively influence tick-borne flavivirus evolution	Virus Evol. 2(2): vew033 (2016)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5210029/
LB_LI_Powassan_ON_Canada_Homo-sapiens_NA_NA_1958-09-23	LB	NC_003687	LI	Powassan_ON	Ontario	Canada	Homo-sapiens	NA	1958-09-23	GenBank	Mandl et al. (1993)	https://www.ncbi.nlm.nih.gov/nuccore/NC_003687.1	Complete genomic sequence of Powassan virus: evaluation of genetic elements in tick-borne versus mosquito-borne flaviviruses	Virology 194 (1), 173-184 (1993)	https://www.ncbi.nlm.nih.gov/pubmed/8097605
POWV-M030T-brain_LII_Unknown_NH_USA_Homo-sapiens_NA_NA_2016-12-XX	POWV_M030T_brain	MF688929	LII	Unknown_NH	New-Hampshire	USA	Homo-sapiens	NA	2016-12-01	GenBank	Piantadosi et al. (2018)	https://www.ncbi.nlm.nih.gov/nuccore/MF688929.1	Rapid detection of Powassan virus in a patient with encephalitis by metagenomic sequencing	Clin Infect Dis. 66(5):789-792 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29020227
POWV-M030T-CSF_LII_Unknown_NH_USA_Homo-sapiens_NA_NA_2016-12-XX	POWV_M030T_CSF	MF688928	LII	Unknown_NH	New-Hampshire	USA	Homo-sapiens	NA	2016-12-01	GenBank	Piantadosi et al. (2018)	https://www.ncbi.nlm.nih.gov/nuccore/MF688928.1	Rapid detection of Powassan virus in a patient with encephalitis by metagenomic sequencing	Clin Infect Dis. 66(5):789-792 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29020227
64-7062_LI_Unknown_NY_USA_Tick_Unknown_Unknown_1964-XX-XX	64-7062	HM440563	LI	Unknown_NY	New-York	USA	Tick	Unknown	1964-06-01	GenBank	Pesko et al. (2010)	https://www.ncbi.nlm.nih.gov/nuccore/HM440563.1	Molecular epidemiology of Powassan virus in North America	J. Gen. Virol. 91 (PT 11), 2698-2705 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20631087
DTVWiC08_LII_Spooner_WI_USA_Ixodes-scapularis_Unknown_Unknown_2008-XX-XX	DTVWiC08	HM440562	LII	Spooner_WI	Wisconsin	USA	Ixodes-scapularis	Unknown	2008-06-01	GenBank	Pesko et al. (2010)	https://www.ncbi.nlm.nih.gov/nuccore/HM440562.1	Molecular epidemiology of Powassan virus in North America	J. Gen. Virol. 91 (PT 11), 2698-2705 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20631087
DTVWiB08_LII_Spooner_WI_USA_Ixodes-scapularis_Unknown_Unknown_2008-XX-XX	DTVWiB08	HM440561	LII	Spooner_WI	Wisconsin	USA	Ixodes-scapularis	Unknown	2008-06-01	GenBank	Pesko et al. (2010)	https://www.ncbi.nlm.nih.gov/nuccore/HM440561.1	Molecular epidemiology of Powassan virus in North America	J. Gen. Virol. 91 (PT 11), 2698-2705 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20631087
DTVWiA08_LII_Spooner_WI_USA_Ixodes-scapularis_Unknown_Unknown_2008-XX-XX	DTVWiA08	HM440560	LII	Spooner_WI	Wisconsin	USA	Ixodes-scapularis	Unknown	2008-06-01	GenBank	Pesko et al. (2010)	https://www.ncbi.nlm.nih.gov/nuccore/HM440560.1	Molecular epidemiology of Powassan virus in North America	J. Gen. Virol. 91 (PT 11), 2698-2705 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20631087
NFS001_LII_Nantucket_MA_USA_Ixodes-scapularis_Unknown_Unknown_1996-XX-XX	NFS001	HM440559	LII	Nantucket_MA	Massachusetts	USA	Ixodes-scapularis	Unknown	1996-06-01	GenBank	Pesko et al. (2010)	https://www.ncbi.nlm.nih.gov/nuccore/HM440559.1	Molecular epidemiology of Powassan virus in North America	J. Gen. Virol. 91 (PT 11), 2698-2705 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20631087
wicf9901_LII_Chippewa-Falls_WI_USA_Ixodes-scapularis_Unknown_Unknown_1999-XX-XX	wicf9901	HM440558	LII	Chippewa-Falls_WI	Wisconsin	USA	Ixodes-scapularis	Unknown	1999-06-01	GenBank	Pesko et al. (2010)	https://www.ncbi.nlm.nih.gov/nuccore/HM440558.1	Molecular epidemiology of Powassan virus in North America	J. Gen. Virol. 91 (PT 11), 2698-2705 (2010)	https://www.ncbi.nlm.nih.gov/pubmed/20631087
MeC17-166_LII_Cape-Elizabeth_ME_USA_Ixodes-scapularis_Unknown_Unknown_2017-XX-XX	MeC17-166	MK104144	LII	Cape-Elizabeth_ME	Maine	USA	Ixodes-scapularis	Unknown	2017-06-01	GenBank	Robich et al. (2019)	https://www.ncbi.nlm.nih.gov/nuccore/MK104144.1	Prevalence and genetic characterization of deer tick virus (Powassan virus, lineage II) in Ixodes scapularis ticks collected in Maine	Am. J. Trop. Med. Hyg. 101(2):467-471 (2019)	https://www.ncbi.nlm.nih.gov/pubmed/31218999
MeW17-228_LII_Wells_ME_USA_Ixodes-scapularis_Unknown_Unknown_2017-XX-XX	MeW17-228	MK309362	LII	Wells_ME	Maine	USA	Ixodes-scapularis	Unknown	2017-06-01	GenBank	Robich et al. (2019)	https://www.ncbi.nlm.nih.gov/nuccore/MK309362.1	Prevalence and genetic characterization of deer tick virus (Powassan virus, lineage II) in Ixodes scapularis ticks collected in Maine	Am. J. Trop. Med. Hyg. 101(2):467-471 (2019)	https://www.ncbi.nlm.nih.gov/pubmed/31218999
RTS84_LII_East-Islip_NY_USA_Ixodes-scapularis_Unknown_Unknown_2016-XX-XX	RTS84	MG647783	LII	East-Islip_NY	New-York	USA	Ixodes-scapularis	Unknown	2016-06-01	GenBank	Tokarz et al. (2018)	https://www.ncbi.nlm.nih.gov/nuccore/MG647783.1	Identification of novel viruses in Amblyomma americanum, Dermacentor variablis, and Ixodes scapularis ticks	mSphere 3 (2) e00614-17 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29564401
RTS96_LII_Lloyd-Harbor_NY_USA_Ixodes-scapularis_Unknown_Unknown_2016-XX-XX	RTS96	MG647782	LII	Lloyd-Harbor_NY	New-York	USA	Ixodes-scapularis	Unknown	2016-06-01	GenBank	Tokarz et al. (2018)	https://www.ncbi.nlm.nih.gov/nuccore/MG647782.1	Identification of novel viruses in Amblyomma americanum, Dermacentor variablis, and Ixodes scapularis ticks	mSphere 3 (2) e00614-17 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29564401
RTS92_LII_Islip_NY_USA_Ixodes-scapularis_Unknown_Unknown_2016-XX-XX	RTS92	MG647781	LII	Islip_NY	New-York	USA	Ixodes-scapularis	Unknown	2016-06-01	GenBank	Tokarz et al. (2018)	https://www.ncbi.nlm.nih.gov/nuccore/MG647781.1	Identification of novel viruses in Amblyomma americanum, Dermacentor variablis, and Ixodes scapularis ticks	mSphere 3 (2) e00614-17 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29564401
RTS82_LII_East-Islip_NY_USA_Ixodes-scapularis_Unknown_Unknown_2016-XX-XX	RTS82	MG647780	LII	East-Islip_NY	New-York	USA	Ixodes-scapularis	Unknown	2016-06-01	GenBank	Tokarz et al. (2018)	https://www.ncbi.nlm.nih.gov/nuccore/MG647780.1	Identification of novel viruses in Amblyomma americanum, Dermacentor variablis, and Ixodes scapularis ticks	mSphere 3 (2) e00614-17 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29564401
RTS81_LII_East-Islip_NY_USA_Ixodes-scapularis_Unknown_Unknown_2016-XX-XX	RTS81	MG647779	LII	East-Islip_NY	New-York	USA	Ixodes-scapularis	Unknown	2016-06-01	GenBank	Tokarz et al. (2018)	https://www.ncbi.nlm.nih.gov/nuccore/MG647779.1	Identification of novel viruses in Amblyomma americanum, Dermacentor variablis, and Ixodes scapularis ticks	mSphere 3 (2) e00614-17 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29564401
LI-1_LII_East-Islip_NY_USA_Ixodes-scapularis_Unknown_Unknown_2013-04-XX	LI-1	KJ746872	LII	East-Islip_NY	New-York	USA	Ixodes-scapularis	Unknown	2013-04-01	GenBank	Tokarz et al. (2014)	https://www.ncbi.nlm.nih.gov/nuccore/KJ746872.2	Virome analysis of Amblyomma americanum, Dermacentor variabilis, and Ixodes scapularis ticks reveals novel highly divergent vertebrate and invertebrate viruses	J. Virol. 88 (19), 11480-11492 (2014)	https://www.ncbi.nlm.nih.gov/pubmed/25056893
ctb30-ct95_LII_Unknown_CT_USA_Ixodes-scapularis_Unknown_Unknown_1995-XX-XX	ctb30	AF311056	LII	Unknown_CT	Connecticut	USA	Ixodes-scapularis	Unknown	1995-06-01	GenBank	Kuno et al. (2001)	https://www.ncbi.nlm.nih.gov/nuccore/AF311056.1	Genomic sequencing of deer tick virus and phylogeny of powassan-related viruses of North America	Am. J. Trop. Med. Hyg. 65(5): 671-676 (2011)	https://pubmed.ncbi.nlm.nih.gov/11716135/
CoJH_LII_Westchester_NY_USA_Unknown_Unknown_Unknown_2008-XX-XX	CoJH		LII	Westchester_NY	New-York	USA	Unknown	Unknown	2008-06-01	NYSDOH	Ciota et al.				
Co916_LII_Westchester_NY_USA_Unknown_Unknown_Unknown_2009-XX-XX	Co916		LII	Westchester_NY	New-York	USA	Unknown	Unknown	2009-06-01	NYSDOH	Ciota et al.				
CoYorktown_LII_Westchester_NY_USA_Unknown_Unknown_Unknown_2011-XX-XX	CoYorktown		LII	Westchester_NY	New-York	USA	Unknown	Unknown	2011-06-01	NYSDOH	Ciota et al.				
Co123_LII_Rockland_NY_USA_Unknown_Unknown_Unknown_2011-XX-XX	Co123		LII	Rockland_NY	New-York	USA	Unknown	Unknown	2011-06-01	NYSDOH	Ciota et al.				
Co1190_LII_Putnam_NY_USA_Unknown_Unknown_Unknown_2011-XX-XX	Co1190		LII	Putnam_NY	New-York	USA	Unknown	Unknown	2011-06-01	NYSDOH	Ciota et al.				
P0096_LII_Bridgeport_CT_USA_Unknown_Unknown_Unknown_2008-XX-XX	P0096		LII	Bridgeport_CT	Connecticut	USA	Unknown	Unknown	2008-06-01	NYSDOH	Ciota et al.				
CoFDR_LII_Westchester_NY_USA_Unknown_Unknown_Unknown_2008-XX-XX	CoFDR		LII	Westchester_NY	New-York	USA	Unknown	Unknown	2008-06-01	NYSDOH	Ciota et al.				
CoNorthCastle_LII_Westchester_NY_USA_Unknown_Unknown_Unknown_2011-XX-XX	CoNorthCastle		LII	Westchester_NY	New-York	USA	Unknown	Unknown	2011-06-01	NYSDOH	Ciota et al.				
P1912_LII_Bridgeport_CT_USA_Unknown_Unknown_Unknown_2012-XX-XX	P1912		LII	Bridgeport_CT	Connecticut	USA	Unknown	Unknown	2012-06-01	NYSDOH	Ciota et al.				
Co1021_LII_Putnam_NY_USA_Unknown_Unknown_Unknown_2010-XX-XX	Co1021		LII	Putnam_NY	New-York	USA	Unknown	Unknown	2010-06-01	NYSDOH	Ciota et al.				
CT390_LII_Nortwest_CT_USA_Unknown_Unknown_Unknown_1995-XX-XX	CT390		LII	Unknown_CT	Connecticut	USA	Unknown	Unknown	1995-06-01	NYSDOH	Ciota et al.				
P0525_LII_North-Branford_CT_USA_Unknown_Unknown_Unknown_2010-XX-XX	P0525		LII	North-Branford_CT	Connecticut	USA	Unknown	Unknown	2010-06-01	NYSDOH	Ciota et al.				
CoWTDtick_LII_Columbia_NY_USA_Unknown_Unknown_Unknown_2013-XX-XX	CoWTDtick		LII	Columbia_NY	New-York	USA	Unknown	Unknown	2013-06-01	NYSDOH	Ciota et al.				
Co1373_LII_Dutchess_NY_USA_Unknown_Unknown_Unknown_2011-12-XX	Co1373		LII	Dutchess_NY	New-York	USA	Unknown	Unknown	2011-06-01	NYSDOH	Ciota et al.				
SPO_LII_Spooner_WI_USA_Unknown_Unknown_Unknown_1997-XX-XX	SPO		LII	Spooner_WI	Wisconsin	USA	Unknown	Unknown	1997-06-01	NYSDOH	Ciota et al.				
NY-tick7062_LI_Unknown_NY_USA_Tick_Unknown_Unknown_1964-XX-XX	NY-tick7062		LI	Unknown_NY	New-York	USA	Tick	Unknown	1964-06-01	NYSDOH	Ciota et al.				
NY-human1702_LI_Unknown_NY_USA_Homo-sapiens_NA_NA_1975-XX-XX	NY-human1702		LI	Unknown_NY	New-York	USA	Homo-sapiens	NA	1975-06-01	NYSDOH	Ciota et al.				
PF3.017_LII_Wells_ME_USA_Ixodes-scapularis_Unknown_Unknown_2018-06-07	PF3.017		LII	Wells_ME	Maine	USA	Ixodes-scapularis	Unknown	2018-06-07	MMCRI	Normandin et al.				
PF3.019_LII_Wells_ME_USA_Ixodes-scapularis_Unknown_Unknown_2018-06-07	PF3.019		LII	Wells_ME	Maine	USA	Ixodes-scapularis	Unknown	2018-06-07	MMCRI	Normandin et al.				
PF3.020_LII_Wells_ME_USA_Ixodes-scapularis_Unknown_Unknown_2018-06-07	PF3.020		LII	Wells_ME	Maine	USA	Ixodes-scapularis	Unknown	2018-06-07	MMCRI	Normandin et al.				
PF3.057_LII_Wells_ME_USA_Ixodes-scapularis_Unknown_Unknown_2018-06-11	PF3.057		LII	Wells_ME	Maine	USA	Ixodes-scapularis	Unknown	2018-06-11	MMCRI	Normandin et al.				
DH18-P52-B9_LII_Millis_MA_USA_Unknown_Unknown_Unknown_2018-11-XX	DH18-P52-B9		LII	Millis_MA	Massachusetts	USA	Unknown	Unknown	2018-11-01	Tufts	Normandin et al.				
ME18-F37_LII_Cape-Elizabeth_ME_USA_Unknown_Unknown_Unknown_2018-10-XX	ME18-F37		LII	Cape-Elizabeth_ME	Maine	USA	Unknown	Unknown	2018-10-01	Tufts	Normandin et al.				
ME18-M193_LII_Wells_ME_USA_Unknown_Unknown_Unknown_2018-11-XX	ME18-M193		LII	Wells_ME	Maine	USA	Unknown	Unknown	2018-11-01	Tufts	Normandin et al.				
RI18-M49_LII_South-county_RI_USA_Ixodes-scapularis_Unknown_Unknown_2018-11-XX	RI18-M49		LII	South-county_RI	Rhode-Island	USA	Ixodes-scapularis	Unknown	2018-11-01	Tufts	Normandin et al.				
DH18-P61-g2_LII_Sherborn_MA_USA_Ixodes-scapularis_Unknown_Unknown_2018-11-XX	DH18-P61-g2		LII	Sherborn_MA	Massachusetts	USA	Ixodes-scapularis	Unknown	2018-11-01	Tufts	Normandin et al.				
DH18-P1020C10_LII_Millis_MA_USA_Ixodes-scapularis_Unknown_Unknown_2018-11-XX	DH18-P1020C10		LII	Millis_MA	Massachusetts	USA	Ixodes-scapularis	Unknown	2018-11-01	Tufts	Normandin et al.				
N18-F18_LII_Nantucket_MA_USA_Ixodes-scapularis_Unknown_Unknown_2018-10-XX	N18-F18		LII	Nantucket_MA	Massachusetts	USA	Ixodes-scapularis	Unknown	2018-10-01	Tufts	Normandin et al.				
ME18-M192_LII_Wells_ME_USA_Ixodes-scapularis_Unknown_Unknown_2018-11-XX	ME18-M192		LII	Wells_ME	Maine	USA	Ixodes-scapularis	Unknown	2018-11-01	Tufts	Normandin et al.				
RI18-N570_LII_South-county_RI_USA_Ixodes-scapularis_Unknown_Unknown_2018-06-XX	RI18-N570		LII	South-county_RI	Rhode-Island	USA	Ixodes-scapularis	Unknown	2018-06-01	Tufts	Normandin et al.				
RI18-M272_LII_South-county_RI_USA_Ixodes-scapularis_Unknown_Unknown_2018-11-XX	RI18-M272		LII	South-county_RI	Rhode-Island	USA	Ixodes-scapularis	Unknown	2018-11-01	Tufts	Normandin et al.				
RI18-F165_LII_South-county_RI_USA_Ixodes-scapularis_Unknown_Unknown_2018-11-XX	RI18-F165		LII	South-county_RI	Rhode-Island	USA	Ixodes-scapularis	Unknown	2018-11-01	Tufts	Normandin et al.				
DH18-D81-A4-A6_LII_Marthas-Vineyard_MA_USA_Ixodes-scapularis_Unknown_Unknown_2018-11-XX	DH18-D81-A4-A6		LII	Marthas-Vineyard_MA	Massachusetts	USA	Ixodes-scapularis	Unknown	2018-11-01	Tufts	Normandin et al.				
DH18-D81-A1-A3_LII_Marthas-Vineyard_MA_USA_Ixodes-scapularis_Unknown_Unknown_2018-11-XX	DH18-D81-A1-A3		LII	Marthas-Vineyard_MA	Massachusetts	USA	Ixodes-scapularis	Unknown	2018-11-01	Tufts	Normandin et al.				
ME18-M32_LII_Cape-Elizabeth_ME_USA_Ixodes-scapularis_Unknown_Unknown_2018-10-XX	ME18-M32		LII	Cape-Elizabeth_ME	Maine	USA	Ixodes-scapularis	Unknown	2018-10-01	Tufts	Normandin et al.				
1427-62_LI_North-Bay_ON_Canada_Sciurus-vulgaris_Unknown_Unknown_1962-XX-XX	1427-62		LI	North-Bay_ON	Ontario	Canada	Sciurus-vulgaris	NA	1962-06-01	CSU	Normandin et al.				
